X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.34..あなたは.他の人と比べて.飲み物を飲む量が多い方だと思いますか.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.42..あなたは.食事の時に飲み物を飲みますか,X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.42..朝.一回に食べる量を選んでください（肉・肉加工品類）,X.74..朝.1週間に.回（淡色野菜、きのこ類）,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.119..味噌汁.1週間に.杯,X.181..冷たいものをとると.体の調子が悪くなりますか.,X.88..あなたは.便通について.普段の状態に近いものを選んでください.,選択式_全由来,選択式_飲料由来,選択式_食事由来,選択式_酒類由来
1,3,0,0,0,1,0,0,0,0,2,0,0,4,1615.95,1056.45,355,204.5
0,0,3,3,0,3,0,2,0,0,0,5,2,3,2703.6625,1537.2375,1166.425,0
1,1,3,2,0,2,1,1,1,0,1,2,3,1,1470.7375,587.825,752.3875,130.525
3,3,1,1,0,6,0,4,2,5,2,7,0,2,3796.9,1873.575,1387.525,535.8
2,2,2,2,1,3,0,3,2,3,2,7,1,2,3605.9625,1955.6125,1629,21.35
0,0,3,2,0,2,1,2,1,4,2,6,0,2,2262.65,907.8125,1354.8375,0
4,4,1,2,0,6,2,1,0,0,2,1,1,1,3375.4875,2171.6125,1181.7,22.175
3,3,3,2,0,4,1,1,0,0,0,2,0,4,2618.0625,1823.8375,617.7,176.525
1,1,2,2,0,0,0,1,2,3,2,1,2,1,2227.375,724.7,1210.975,291.7
3,4,2,2,2,4,2,2,1,5,2,7,0,2,2990.4125,1870.2875,1048.55,71.575
2,1,1,2,1,3,5,0,0,0,3,0,0,1,1548.775,1075.725,473.05,0
