X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.119..味噌汁.1週間に.杯,X.74..朝.1週間に.回（淡色野菜、きのこ類）,X.42..朝.一回に食べる量を選んでください（肉・肉加工品類）,X.34..あなたは.他の人と比べて.飲み物を飲む量が多い方だと思いますか.,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.181..冷たいものをとると.体の調子が悪くなりますか.,X.42..あなたは.食事の時に飲み物を飲みますか,X.88..あなたは.便通について.普段の状態に近いものを選んでください.,Label
3,1,0,1,0,0,0,0,0,0,2,0,0,4,1615.95
0,0,0,3,3,2,5,0,0,3,0,2,0,3,2703.6625
1,1,1,2,2,1,2,0,1,3,1,3,0,1,1470.7375
3,3,0,6,1,4,7,5,2,1,2,0,0,2,3796.9
2,2,0,3,2,3,7,3,2,2,2,1,1,2,3605.9625
0,0,1,2,2,2,6,4,1,3,2,0,0,2,2262.65
4,4,2,6,2,1,1,0,0,1,2,1,0,1,3375.4875
3,3,1,4,2,1,2,0,0,3,0,0,0,4,2618.0625
1,1,0,0,2,1,1,3,2,2,2,2,0,1,2227.375
4,3,2,4,2,2,7,5,1,2,2,0,2,2,2990.4125
1,2,5,3,2,0,0,0,0,1,3,0,1,1,1548.775
2,3,1,7,1,2,6,0,0,2,1,1,0,4,3689.76875
4,4,0,0,2,2,0,0,1,1,0,0,0,2,3126.9
2,2,0,2,0,2,5,3,0,0,2,0,1,4,2799.9
0,0,0,4,3,3,10,0,0,4,2,1,1,2,1732.725
2,2,0,3,3,2,11,0,0,3,1,1,1,3,2863.4125
