X.15..1日に平均して何本くらい吸いますか.,X.101..アルコール飲料を一回に飲む量を選んでください,X.54..あなたは.水は.水道水よりミネラルウォーターを飲みますか,X.60..あなたは.他の人と比べて.お酒に強い方だと思いますか.,X.58.8.1番よく飲むお酒は何ですか...ほとんど飲まない.,X.100..清涼飲料.缶コーヒー.1週間に.本,X.16..あなたは週に何日位お酒.清酒.焼酎.ビール.洋酒など.を飲みますか.あてはまる番号１つに.をつけてください.,X.63..あなたは.お休みの日は.昼間からお酒を飲むことがありますか,X.69..あなたは.夜食をどの程度の頻度で食べますか,Label
0,2,1,2,0,0,3,3,5,204.5
0,2,3,4,1,0,5,3,4,0
0,1,1,2,0,0,1,2,5,130.525
0,2,0,0,0,0,1,3,5,535.8
0,1,1,2,0,0,4,1,4,21.35
0,1,2,2,0,1,4,3,5,0
0,1,2,1,0,0,4,2,5,22.175
0,2,3,3,0,1,4,2,5,176.525
0,2,3,2,0,0,1,3,5,291.7
0,1,2,4,0,0,3,3,5,71.575
0,2,2,3,0,0,3,3,5,0
0,1,2,3,0,0,5,3,5,0
0,0,2,3,1,0,6,3,5,0
0,1,2,2,0,0,3,1,5,71.575
0,0,0,4,1,0,6,3,5,0
0,0,1,4,1,0,6,3,5,0
0,0,1,4,1,0,6,3,5,0
0,0,1,2,1,1,5,3,5,0
0,0,1,2,0,1,5,3,5,0
0,0,1,3,1,0,6,3,5,0
0,1,2,2,0,0,5,3,5,88.7
0,0,2,4,1,0,6,3,5,0
0,0,1,4,1,0,6,3,5,0
0,0,0,4,1,0,6,3,5,0
0,3,1,1,0,0,5,3,5,0
0,0,2,2,1,0,5,3,5,0
0,2,2,3,1,4,5,3,5,0
0,1,0,3,0,1,2,3,5,79.8
0,0,1,4,1,1,6,3,5,0
0,0,2,4,1,0,5,3,5,0
2,3,0,0,0,0,0,3,5,912
0,0,3,4,1,0,6,3,5,0
3,0,2,4,1,2,6,3,4,0
0,0,1,4,1,0,6,3,5,0
0,0,1,2,1,0,5,2,3,149.45
0,1,1,2,0,0,2,3,0,165.4
0,1,3,1,0,0,5,3,5,0
0,1,1,3,0,1,3,3,5,42.625
0,0,1,2,0,2,5,3,5,0
0,0,2,2,1,0,6,3,5,0
0,2,3,0,0,0,2,1,3,251.6
0,1,2,2,0,1,4,3,5,79.8
2,1,3,2,0,1,4,3,5,0
0,0,0,2,1,0,6,3,5,0
0,1,2,1,0,1,5,3,5,0
1,2,3,2,0,0,3,3,5,0
0,2,1,2,0,1,3,3,3,79.8
0,0,2,1,1,0,6,1,4,0
0,0,3,4,1,1,6,3,5,0
0,1,2,3,0,0,3,3,4,45.6
0,0,3,4,1,7,6,3,5,0
0,1,0,2,0,0,5,3,5,0
0,0,1,4,1,20,6,3,3,0
0,0,2,4,1,0,6,3,5,0
1,2,1,0,0,3,3,3,5,0
0,2,3,3,0,1,1,3,5,332.8
0,0,1,0,1,0,5,2,5,0
0,0,1,2,0,0,5,3,5,0
0,0,0,4,1,7,6,3,5,0
0,1,2,0,0,1,4,3,5,79.8
0,2,1,1,0,0,4,3,5,0
0,0,3,2,1,0,6,3,5,0
0,0,1,4,1,0,6,2,2,74.725
0,1,3,1,0,1,4,3,5,0
0,1,0,2,0,0,4,3,5,20.45
0,0,1,4,0,1,6,3,1,0
0,0,0,4,1,0,5,3,5,0
0,1,3,1,0,1,5,3,5,0
0,0,1,2,1,0,5,3,3,0
0,0,3,4,1,0,6,3,5,0
0,0,1,1,1,0,6,3,5,0
0,2,3,0,0,4,4,3,5,71.575
0,0,1,0,0,1,5,3,5,0
0,2,2,1,0,1,4,3,4,0
0,0,1,3,1,0,6,3,5,0
0,0,2,4,1,0,6,3,5,0
0,3,1,2,0,0,2,3,5,228
0,2,0,1,0,0.5,2,3,5,185.85
0,0,2,3,1,0,6,3,5,0
0,0,2,2,1,1,6,3,5,0
0,2,1,2,0,1,2,2,5,227.375
0,0,0,4,1,0,6,3,5,0
0,0,2,4,1,2,6,3,4,0
0,0,1,4,1,1,6,3,2,0
0,0,3,3,1,0,6,3,5,0
0,0,3,4,1,0,6,3,5,0
0,0,2,4,1,7,6,3,5,0
0,1,2,3,0,2,4,3,5,44.35
0,0,1,4,1,5,6,3,5,0
0,2,2,2,0,0,2,1,5,0
0,0,2,2,1,0,6,3,4,0
0,0,0,4,1,0,6,3,5,0
0,0,1,4,1,0,6,3,5,0
0,0,1,3,0,2,5,3,4,0
0,0,1,4,1,0,6,3,5,0
0,0,0,4,1,1,6,3,2,0
0,0,1,3,0,0,6,3,0,0
0,2,1,2,0,0,3,3,5,67.175
0,0,2,4,1,4,6,3,5,0
0,0,1,3,1,0,6,3,5,71.575
0,0,2,4,1,0,6,3,5,0
0,1,0,2,0,0,5,3,5,68.4
0,2,2,2,0,0,3,3,5,66.525
0,0,1,4,1,5,6,3,1,0
0,0,2,4,1,0,6,3,3,0
0,0,3,3,1,0,6,3,5,0
0,0,2,4,1,0,6,3,3,0
0,0,1,4,1,0,6,3,5,0
0,0,2,4,1,0,6,3,5,0
0,0,1,2,1,0,5,3,5,0
0,1,1,2,1,1,5,3,5,0
0,0,3,3,1,0,6,3,5,0
0,1,2,4,0,0,4,3,5,0
0,0,2,4,1,1,6,3,5,0
0,0,0,4,1,0,6,3,5,0
1,0,2,4,1,1,6,3,5,0
0,0,2,2,1,0,6,3,4,0
0,2,0,1,0,0,1,3,5,641.3625
0,2,2,1,0,0,2,2,5,185.575
2,3,0,1,0,0,0,0,5,872.4
0,0,0,3,1,0,6,3,5,0
0,2,2,3,0,0,2,3,5,0
0,2,2,2,0,7,0,0,5,327.2
0,0,2,2,1,1,6,3,4,0
0,0,1,4,1,7,5,3,5,42.7
0,0,3,4,1,0,6,3,5,0
0,1,1,4,0,1,3,3,5,0
0,2,0,3,0,1,3,2,3,86.5
0,0,1,3,1,0,6,3,5,0
0,0,2,2,1,0,6,3,5,0
0,0,0,4,1,0,6,3,0,0
0,0,1,4,1,3,6,3,5,0
0,3,3,0,0,0,3,1,5,79.8
0,1,0,1,0,5,5,3,5,0
0,1,1,1,0,0,5,3,3,0
0,2,0,1,0,0,3,3,5,74.725
0,0,0,2,1,1.5,6,3,2,0
0,0,3,4,1,0,6,3,2,0
0,2,3,3,0,0,1,2,5,124.8
0,2,2,0,0,7,4,3,5,0
0,0,0,4,1,0,6,3,5,0
0,1,1,2,0,0,3,3,5,0
0,1,1,2,0,2,5,3,5,0
1,2,2,2,0,0,1,1,5,79.8
3,0,3,4,1,1,6,3,4,0
0,0,3,4,1,0,6,3,5,0
1,3,3,2,0,0,0,3,5,968.925
0,0,1,4,1,1,6,3,2,0
0,0,3,1,0,0,6,3,5,0
0,3,1,0,0,1,0,1,4,580.275
0,2,1,1,0,0,4,3,2,0
1,1,2,3,0,0,0,1,5,106.5
0,1,2,4,0,5,3,3,5,22.175
0,1,1,3,0,4,5,1,5,102.6
0,0,0,4,1,0,6,3,5,0
0,0,2,4,1,0,6,3,5,0
0,1,2,1,0,0,3,2,5,168.5
0,0,2,1,1,0,6,3,0,0
0,2,1,0,0,0,3,2,5,119.1625
0,1,2,4,1,1,5,3,5,0
2,0,2,4,1,5,6,3,5,0
0,0,3,3,1,0,5,3,5,0
0,2,2,1,0,0,2,1,5,66.025
0,2,2,1,0,0,1,1,5,44.35
0,0,3,3,1,0,6,3,5,0
0,1,0,0,0,0,1,3,5,239.4
0,0,2,3,1,2,6,3,5,0
0,1,0,3,0,0,3,3,5,74.725
0,0,3,1,1,5,6,3,5,0
0,0,0,3,1,2,6,3,3,0
0,1,2,1,0,0,3,3,5,61.35
0,0,0,4,0,0,6,3,5,0
0,0,2,4,1,0,6,3,5,0
0,2,2,2,0,0,4,3,5,0
0,0,2,2,1,2,5,2,5,0
0,2,3,2,0,0,2,1,5,226.125
0,2,3,0,0,1,4,1,4,0
0,0,1,1,0,0,4,3,5,0
0,0,3,4,1,0,6,3,5,0
0,2,0,1,0,5,3,1,3,71.575
0,2,1,1,0,0,2,3,5,0
0,0,1,4,1,0,5,3,5,0
0,1,2,1,0,1,3,3,5,0
0,0,2,3,1,0,6,3,5,0
0,1,1,3,0,0,3,3,5,143.15
0,3,1,1,0,0,3,2,5,0
0,0,1,4,1,0,6,3,5,0
0,1,2,1,0,2,4,3,5,0
0,0,3,2,1,0,6,3,5,0
0,2,2,4,0,3,5,3,5,0
2,0,0,1,1,0,6,3,4,0
0,0,2,4,1,0,6,3,5,0
0,0,1,2,1,2,6,3,5,0
0,0,3,4,1,0,6,3,5,0
1,2,2,2,0,0,4,2,5,0
1,3,2,2,0,0,4,3,4,0
0,2,2,1,0,0,6,1,5,214.725
0,0,0,4,1,0,6,3,5,0
0,3,1,2,0,1,4,3,5,0
0,1,1,3,0,0,5,3,5,0
0,0,3,4,0,7,4,3,2,0
0,0,0,2,1,0,5,2,5,0
0,0,0,4,1,0,6,3,4,0
0,0,0,4,1,0,6,3,5,0
0,2,1,0,0,0,0,3,5,682.3
0,3,2,0,0,3,0,1,4,318.5375
0,2,3,1,0,3,5,3,4,0
0,0,2,4,1,3,5,3,3,0
0,0,0,4,1,0,6,3,2,0
0,0,2,1,1,1,6,3,5,0
0,2,1,3,0,2,5,3,0,0
0,0,2,4,0,0,5,3,4,61.675
0,1,1,3,0,3,4,3,5,79.8
0,0,1,1,1,0,6,3,5,0
0,1,1,4,1,0,4,3,5,0
0,0,3,4,1,0,6,3,5,0
0,0,2,3,1,3,6,3,5,0
0,0,1,4,1,0,6,3,5,0
0,0,1,4,1,1,6,3,5,0
0,2,0,1,0,0,4,3,5,138.1
0,0,2,2,1,1,6,3,5,0
0,2,0,1,0,0,3,2,5,0
0,3,2,1,0,0,3,2,5,418
0,0,0,1,1,0,6,3,3,0
3,0,0,4,1,6,6,3,2,0
0,2,2,3,0,0,3,2,4,0
0,0,0,3,1,0,6,3,5,0
0,0,3,2,1,0,6,3,5,0
0,1,2,0,0,1,4,3,5,0
0,1,2,1,0,0,3,3,5,152.3375
0,2,1,2,0,0,3,3,5,71.575
0,2,2,0,0,0,3,2,3,22.8
0,0,2,4,1,0,6,3,5,0
0,1,0,1,0,0,4,3,5,79.8
0,2,1,1,0,0,3,2,4,348.7875
0,2,1,3,0,0,2,3,5,143.15
0,2,1,2,0,0,3,1,5,228
0,0,2,3,1,0,6,3,5,0
0,2,0,2,0,0,2,1,5,161.525
0,1,3,3,0,0,3,2,5,22.5
0,0,2,1,1,0,6,3,5,0
0,1,1,2,0,0,3,1,5,114
0,0,3,4,1,0,5,3,3,0
0,2,2,2,0,1,4,3,5,249.3
0,2,1,4,0,0,4,3,5,143.15
