X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.69..昼.一回に食べる量を選んでください（緑黄色野菜）,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.45..あなたは.健康を意識して水分を摂るようにしていますか,Label
1,3,1,0,0,0,1,2,1,1056.45
3,0,0,0,3,2,1,0,1,1537.2375
2,1,1,1,2,1,0,1,1,587.825
6,3,3,0,1,4,2,2,0,1873.575
3,2,2,0,2,3,2,2,1,1955.6125
2,0,0,1,2,2,1,2,2,907.8125
6,4,4,2,2,1,1,2,0,2171.6125
4,3,3,1,2,1,0,0,1,1823.8375
0,1,1,0,2,1,2,2,1,724.7
4,4,3,2,2,2,1,2,1,1870.2875
3,1,2,5,2,0,3,3,2,1075.725
7,2,3,1,1,2,1,1,0,2098.10625
0,4,4,0,2,2,1,0,1,1775
2,2,2,0,0,2,2,2,0,2080.075
4,0,0,0,3,3,2,2,2,660.65
3,2,2,0,3,2,1,1,1,1600.5875
4,1,1,0,1,0,1,1,1,498.5
5,2,2,1,3,2,1,1,0,1580.25
3,2,0,1,2,1,1,0,1,1037.3
2,1,1,2,2,2,0,0,1,839.95
3,2,0,0,4,2,0,0,1,642.375
6,4,3,0,0,0,2,2,2,1654.6875
2,1,0,0,3,2,1,0,1,812.4125
5,3,0,0,4,2,1,1,1,1556.2875
0,3,2,0,2,0,3,2,0,3307.9125
6,2,3,0,2,2,1,1,1,2227.7625
4,2,1,1,3,1,2,1,2,1229.775
2,1,1,0,3,1,1,1,1,1273.0875
3,3,3,1,3,1,1,1,0,1881.325
4,3,3,0,1,1,0,0,0,2823.4625
4,3,3,0,1,1,2,2,1,2247
3,4,0,0,0,2,0,0,0,1179.1125
1,1,2,3,3,1,0,0,2,713.65
3,2,1,0,3,2,2,1,1,823.8
3,1,1,1,1,3,2,2,1,1809.9875
5,2,2,1,2,2,1,1,1,1692.4625
4,2,2,0,1,0,3,2,1,2117.275
5,3,3,1,2,1,3,3,1,1883.6625
3,1,2,1,4,2,2,2,2,1057.175
1,1,2,0,3,1,2,2,2,665.75
3,2,2,0,4,2,1,1,2,1434.2125
3,1,0,1,3,2,1,1,2,922.35
3,0,0,0,4,2,0,0,1,838.275
3,2,1,0,0,2,1,1,1,1223.05
4,1,0,1,2,2,1,1,1,1000.025
2,2,1,0,2,2,1,1,3,1196.4
3,3,3,0,2,1,2,2,1,1621.3375
5,3,2,0,2,0,1,1,2,1428.3375
4,2,0,1,4,2,0,1,1,1057.1
3,1,1,0,4,2,0,0,1,1011.0625
2,1,2,2,2,0,1,1,1,856.2
5,3,3,1,2,0,1,1,1,1547.875
0,2,2,6,2,0,2,1,1,666
5,4,0,0,1,1,1,0,3,760.2125
3,0,5,1,2,1,0,1,1,1136.3
5,4,5,0,1,2,0,0,1,1151.3875
3,2,3,0,1,2,1,1,1,1244.1375
3,1,1,1,2,2,0,0,2,778.0625
2,1,1,2,1,2,0,0,1,1175.1375
4,1,2,2,0,2,0,0,1,1032.2875
0,0,0,0,3,1,1,1,1,337
4,2,2,1,3,2,0,0,2,1368.15
2,1,1,1,2,2,2,2,1,1575.1625
5,1,1,1,2,2,2,2,2,1190.23125
2,2,2,0,1,2,2,2,3,1208.05
5,2,1,1,2,2,1,1,2,1469.4125
5,1,1,0,3,2,3,3,0,1413.8375
6,2,0,1,1,3,1,1,2,1184.3875
5,2,2,1,1,1,2,2,1,1296.25
1,1,2,0,2,2,1,0,3,980.575
5,2,1,0,3,2,2,2,2,1358.4125
5,2,0,3,1,0,2,2,2,968.7375
3,2,0,1,1,0,1,2,1,1141.125
2,3,1,1,2,2,2,1,1,1288.575
4,0,2,0,1,2,0,0,1,1250.4
4,2,2,0,2,1,1,1,0,890.85
3,2,3,0,2,0,2,1,2,1332.05
4,2,2,1,2,2,2,1,1,1409.45
