X.73..朝.一回に食べる量を選んでください（淡色野菜・きのこ類）,X.54..1週間に.個（卵）,X.115..漬け物を一回に食べる量を選んでください,X.55..朝.一回に食べる量を選んでください（大豆・大豆製品）,X.30..食事は.１日何回食べますか.,X.71..あなたは.普段.毎日ごはんをどのくらい食べますか..1杯.茶碗1杯程度,X.118..食卓しょうゆ.ソース.1週間に.回,X.72..夕.1週間に.回（緑黄色野菜）,X.67..朝.一回に食べる量を選んでください（緑黄色野菜）,Label,　,　,　
1,6,0,1,3,2,5,7,2,1089.7125,　,　,　
0,3,0,0,2,1,1,6,0,893.4625,　,　,　
0,20,0,0,2,3,0,3,0,1186.2875,,,
0,4,1,0,2,5,3,4,0,1060.1625,,,
1,1,1,1,2,3,1,2,1,4407.175,,,
0,2,2,0,3,2,0,2,2,937.0125,,,
1,5,1,2,3,4,4,7,1,1562.2,,,
1,7,1,1,3,3,3,6,1,1292.75,,,
2,3,2,0,3,2,5,5,2,792.5125,,,
1,6,1,1,3,3,6,6,1,1514.275,,,
0,9,0,0,3,2,0,4,0,1221.95,,,
0,3,3,0,3,2,2,3,0,1101.0625,,,
1,5,1,1,3,4,5,4,1,2308.9625,,,
1,5,2,0,3,2,2,6,0,1041.475,,,
0,7,0,0,3,3,2,7,0,869.05,,,
0,2,0,0,3,3,1,1,0,728.1375,,,
1,4,2,2,3,2,10,3,1,1255.7375,,,
1,7,0,2,2,3,0,7,1,1346.825,,,
2,3,2,2,3,4,2,2,2,1675.075,,,
0,5,1,0,3,4,4,3,0,1064.675,,,
0,7,0,0,2,0,0,7,0,678.875,,,
0,3,1,0,2,4,5,7,0,1381.5,,,
0,1,1,0,3,2,1,6,0,1170.075,,,
0,10,1,2,2,1,7,2,2,1557.2125,,,
1,0,0,0,3,2,0,7,0,544.425,,,
1,2,0,2,3,3,5,4,2,828.7125,,,
1,4,1,1,3,2,3,2,1,1310.0375,,,
1,7,1,0,3,4,7,5,1,1242.3375,,,
2,2,1,2,3,2,1,1,2,1013.9375,,,
2,3,1,1,3,3,3,7,2,2009.475,,,
3,0,2,3,4,4,6,6,3,1319.925,,,
1,7,1,2,3,2,5,5,1,1478.2125,,,
0,14,0,0,3,3,3,6,3,1679.125,,,
1,5,2,0,2,3,4,1,2,467.975,,,
0,3,1,0,2,3,2,2,1,1070.65,,,
0,5,0,0,3,4,3,2,2,1105.7875,,,
1,3,1,0,3,4,6,5,1,1333.55,,,
0,5,0,0,3,3,3,6,0,1441.4625,,,
0,3,1,0,3,3,3,4,0,847.5,,,
0,5,2,2,2,3,2,3,2,1029.2,,,
0,8,0,0,3,3,0,7,1,1025.525,,,
2,7,1,2,3,3,4,4,3,1062.4,,,
0,5,0,0,2,3,6,3,0,1012.8875,,,
2,3,2,3,3,2,3,5,2,1900.775,,,
0,7,1,0,2,2,4,7,1,770.4,,,
2,20,1,1,2,4,3,0,1,1210,,,
1,3,1,1,3,4,10,5,1,1947.025,,,
0,3,1,0,2,1,2,4,0,1050.975,,,
0,3,0,0,2,2,4,3,0,1155.525,,,
0,1,1,0,3,2,5,2,0,780.2125,,,
2,10,0,2,3,3,8,3,2,1293.3,,,
0,7,2,2,3,4,7,5,2,1175.1,,,
1,5,0,1,2,3,8,1,1,854.175,,,
0,2,2,0,3,2,3,1,0,1184.6875,,,
1,7,1,2,3,2,3,4,1,1208.0125,,,
0,5,1,0,3,2,1,6,0,1248.1875,,,
